id,nome_original,nome_canonico_proposto,nome_normalizado_chave,plataforma,categoria_atual,subcategoria_atual,papel_catalogo_proposto,escopo_mercado,mercado_principal_proposto,submercado_proposto,mercados_relacionados_propostos,orientacao_b2b_b2c,tipos_sinal_propostos,estagios_funil_propostos,confianca_regra,acao_migracao
230,Interesse em cinema no Brasil,Interesse em cinema no Brasil,interesse em cinema no brasil,Programática,Finanças & Seguros,Crédito & Empréstimos,conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes","Cinema, séries e gêneros",,Transversal/indefinido,interesse/afinidade,Conhecimento | Consideração,alta,mapear
231,Interesse em cinema e filmes,Interesse em cinema e filmes,interesse em cinema e filmes,Programática,Entretenimento & Mídia,Cinéfilos & Fãs de Séries (Streaming),conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes","Cinema, séries e gêneros",,Transversal/indefinido,interesse/afinidade,Conhecimento | Consideração,alta,mapear
232,Compradores de ingressos de cinema e usuários interessados em promoções da Flix Media,Compradores de ingressos de cinema e usuários interessados em promoções da Flix Media,compradores de ingressos de cinema e usuarios interessados em promocoes da flix media,Programática,Entretenimento & Mídia,Cinéfilos & Fãs de Séries (Streaming),conceito de audiência,vertical,Varejo & Consumo,Compradores e e-commerce,"Entretenimento, Conteúdo & Esportes",B2C,compra/consumo observado | interesse/afinidade,Conhecimento | Consideração | Conversão,média,mapear
233,Visitantes frequentes da rede de cinemas Kinoplex no Brasil,Visitantes frequentes da rede de cinemas Kinoplex no Brasil,visitantes frequentes da rede de cinemas kinoplex no brasil,Programática,Entretenimento & Mídia,Cinéfilos & Fãs de Séries (Streaming),conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes","Cinema, séries e gêneros",,B2C,visitação/localização,Consideração | Conversão,alta,mapear
234,Visitantes frequentes da rede de cinemas UCI no Brasil,Visitantes frequentes da rede de cinemas UCI no Brasil,visitantes frequentes da rede de cinemas uci no brasil,Programática,Entretenimento & Mídia,Cinéfilos & Fãs de Séries (Streaming),conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes","Cinema, séries e gêneros",,B2C,visitação/localização,Consideração | Conversão,alta,mapear
235,Visitantes frequentes da rede de cinemas Centerplex no Brasil,Visitantes frequentes da rede de cinemas Centerplex no Brasil,visitantes frequentes da rede de cinemas centerplex no brasil,Programática,Entretenimento & Mídia,Cinéfilos & Fãs de Séries (Streaming),conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes","Cinema, séries e gêneros",,B2C,visitação/localização,Consideração | Conversão,alta,mapear
236,Visitantes frequentes da rede de cinemas Cinemark no Brasil,Visitantes frequentes da rede de cinemas Cinemark no Brasil,visitantes frequentes da rede de cinemas cinemark no brasil,Programática,Entretenimento & Mídia,Cinéfilos & Fãs de Séries (Streaming),conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes","Cinema, séries e gêneros",,B2C,visitação/localização,Consideração | Conversão,alta,mapear
237,Interesse em Notícias Locais e Regionalismo,Interesse em Notícias Locais e Regionalismo,interesse em noticias locais e regionalismo,Programática,Entretenimento & Mídia,Consumidores de Notícias,conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes",Notícias e atualidades,,Transversal/indefinido,contextual/editorial | interesse/afinidade,Conhecimento | Consideração,alta,mapear
238,Interesse geral em Notícias e Atualidades,Interesse geral em Notícias e Atualidades,interesse geral em noticias e atualidades,Programática,Entretenimento & Mídia,Consumidores de Notícias,conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes",Notícias e atualidades,,Transversal/indefinido,demográfico/socioeconômico | contextual/editorial | interesse/afinidade,Conhecimento | Consideração,alta,mapear
239,Interesse em Notícias Policiais e Segurança,Interesse em Notícias Policiais e Segurança,interesse em noticias policiais e seguranca,Programática,Entretenimento & Mídia,Consumidores de Notícias,conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes",Notícias e atualidades,,Transversal/indefinido,contextual/editorial | interesse/afinidade,Conhecimento | Consideração,alta,mapear
240,Interesse em Notícias Internacionais e Assuntos Globais,Interesse em Notícias Internacionais e Assuntos Globais,interesse em noticias internacionais e assuntos globais,Programática,Entretenimento & Mídia,Consumidores de Notícias,conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes",Notícias e atualidades,,Transversal/indefinido,contextual/editorial | interesse/afinidade,Conhecimento | Consideração,alta,mapear
241,Público mobile interessado em Notícias e Atualidades no Brasil,Público mobile interessado em Notícias e Atualidades no Brasil,publico mobile interessado em noticias e atualidades no brasil,Programática,Entretenimento & Mídia,Consumidores de Notícias,conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes",Notícias e atualidades,,B2C,demográfico/socioeconômico | contextual/editorial | interesse/afinidade,Conhecimento | Consideração,alta,mapear
242,Público mobile interessado em Notícias de Finanças e Economia,Público mobile interessado em Notícias de Finanças e Economia,publico mobile interessado em noticias de financas e economia,Programática,Entretenimento & Mídia,Consumidores de Notícias,conceito de audiência,vertical,Finanças & Seguros,Educação e conteúdo financeiro,"Entretenimento, Conteúdo & Esportes",B2C,contextual/editorial | interesse/afinidade,Conhecimento | Consideração,média,mapear
243,"Sócios e proprietários de empresas do setor de logística, transporte e armazenamento","Sócios e proprietários de empresas do setor de logística, transporte e armazenamento","socios e proprietarios de empresas do setor de logistica, transporte e armazenamento",Programática,Mobilidade,Negócios e serviços,conceito de audiência,vertical,"Automotivo, Mobilidade & Logística",Logística e transporte de cargas,"B2B, Enterprise & Indústria",B2B,empresa/firmográfico,,média,mapear
244,Tomadores de decisão e sócios de empresas de transporte e logística,Tomadores de decisão e sócios de empresas de transporte e logística,tomadores de decisao e socios de empresas de transporte e logistica,Programática,Mobilidade,Negócios e serviços,conceito de audiência,vertical,"Automotivo, Mobilidade & Logística",Logística e transporte de cargas,"B2B, Enterprise & Indústria",B2B,empresa/firmográfico,,média,avaliar consolidação conceitual
246,"Empresários e profissionais do setor de transporte, armazenagem e correios","Empresários e profissionais do setor de transporte, armazenagem e correios","empresarios e profissionais do setor de transporte, armazenagem e correios",Programática,Mobilidade,Negócios e serviços,conceito de audiência,vertical,"Automotivo, Mobilidade & Logística",Logística e transporte de cargas,"B2B, Enterprise & Indústria",B2B,cargo/função profissional | empresa/firmográfico,,média,mapear
247,"Empresários e Profissionais de Logística, Transporte e Armazenagem","Empresários e Profissionais de Logística, Transporte e Armazenagem","empresarios e profissionais de logistica, transporte e armazenagem",Programática,Mobilidade,Negócios e serviços,conceito de audiência,vertical,"Automotivo, Mobilidade & Logística",Logística e transporte de cargas,"B2B, Enterprise & Indústria",B2B,cargo/função profissional | empresa/firmográfico,,média,mapear
248,Tomadores de decisão e sócios de empresas de transporte e logística,Tomadores de decisão e sócios de empresas de transporte e logística,tomadores de decisao e socios de empresas de transporte e logistica,Programática,Mobilidade,Negócios e serviços,conceito de audiência,vertical,"Automotivo, Mobilidade & Logística",Logística e transporte de cargas,"B2B, Enterprise & Indústria",B2B,empresa/firmográfico,,média,avaliar consolidação conceitual
249,Público interessado em imóveis de luxo e alto padrão,Público interessado em imóveis de luxo e alto padrão,publico interessado em imoveis de luxo e alto padrao,Programática,B2B & Indústria,Investidores Imobiliários,conceito de audiência,vertical,Imobiliário & Construção,Outros / revisar,,B2C,interesse/afinidade,Conhecimento | Consideração,média,mapear
250,Consumidores com intenção de compra em leilões de imóveis,Consumidores com intenção de compra em leilões de imóveis,consumidores com intencao de compra em leiloes de imoveis,Programática,B2B & Indústria,Investidores Imobiliários,conceito de audiência,vertical,Imobiliário & Construção,Compra e lançamentos,,B2C,intenção de compra | compra/consumo observado,Consideração | Conversão,alta,mapear
251,Investidores do mercado imobiliário,Investidores do mercado imobiliário,investidores do mercado imobiliario,Programática,B2B & Indústria,Investidores Imobiliários,conceito de audiência,vertical,Imobiliário & Construção,Investimento imobiliário,Finanças & Seguros,Transversal/indefinido,,,média,mapear
252,Público Lookalike com intenção de venda de imóveis,Público Lookalike com intenção de venda de imóveis,publico lookalike com intencao de venda de imoveis,Programática,B2B & Indústria,Buscando Imóveis para Comprar,tática de ativação,transversal,,,Imobiliário & Construção,Transversal/indefinido,intenção de compra | modelado/lookalike,Consideração | Conversão,alta,mapear
253,Público com intenção de compra de imóveis,Público com intenção de compra de imóveis,publico com intencao de compra de imoveis,Programática,B2B & Indústria,Buscando Imóveis para Comprar,conceito de audiência,vertical,Imobiliário & Construção,Compra e lançamentos,,B2C,intenção de compra,Consideração | Conversão,alta,mapear
254,Pessoas com intenção de alugar um imóvel (Inquilinos),Pessoas com intenção de alugar um imóvel (Inquilinos),pessoas com intencao de alugar um imovel (inquilinos),Programática,B2B & Indústria,Buscando Imóveis para Alugar,conceito de audiência,vertical,Imobiliário & Construção,Aluguel,,B2C,intenção de compra,Consideração | Conversão,alta,mapear
255,Proprietários com intenção de colocar imóveis para alugar,Proprietários com intenção de colocar imóveis para alugar,proprietarios com intencao de colocar imoveis para alugar,Programática,B2B & Indústria,Buscando Imóveis para Alugar,conceito de audiência,vertical,Imobiliário & Construção,Aluguel,,Transversal/indefinido,intenção de compra,Consideração | Conversão,alta,mapear
256,Pessoas com intenção ativa de compra de imóveis,Pessoas com intenção ativa de compra de imóveis,pessoas com intencao ativa de compra de imoveis,Programática,Finanças & Seguros,"Investimentos (Ações, Fundos)",conceito de audiência,vertical,Imobiliário & Construção,Compra e lançamentos,,B2C,intenção de compra,Consideração | Conversão,alta,mapear
257,Pessoas com intenção ativa de venda de imóveis,Pessoas com intenção ativa de venda de imóveis,pessoas com intencao ativa de venda de imoveis,Programática,B2B & Indústria,Buscando Imóveis para Comprar,conceito de audiência,vertical,Imobiliário & Construção,Outros / revisar,,B2C,intenção de compra,Consideração | Conversão,média,mapear
258,Consumidores habituais de refrigerantes no Brasil (Dados Kantar IBOPE),Consumidores habituais de refrigerantes no Brasil,consumidores habituais de refrigerantes no brasil (dados kantar ibope),Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,Outros / revisar,,B2C,compra/consumo observado,Consideração | Conversão,média,mapear
259,Consumidores de Cerveja com 18 anos ou mais no Brasil (Dados Kantar IBOPE),Consumidores de Cerveja com 18 anos ou mais no Brasil,consumidores de cerveja com 18 anos ou mais no brasil (dados kantar ibope),Programática,Consumo & Varejo,Amantes de Cerveja / Vinho,conceito de audiência,vertical,Varejo & Consumo,"Alimentos, bebidas e gastronomia",,B2C,compra/consumo observado | demográfico/socioeconômico,Consideração | Conversão,alta,mapear
260,Consumidores de Vinho com 18 anos ou mais no Brasil (Dados Kantar IBOPE),Consumidores de Vinho com 18 anos ou mais no Brasil,consumidores de vinho com 18 anos ou mais no brasil (dados kantar ibope),Programática,Consumo & Varejo,Amantes de Cerveja / Vinho,conceito de audiência,vertical,Varejo & Consumo,"Alimentos, bebidas e gastronomia",,B2C,compra/consumo observado | demográfico/socioeconômico,Consideração | Conversão,alta,mapear
261,Consumidores de Vodka com 18 anos ou mais no Brasil (Dados Kantar IBOPE),Consumidores de Vodka com 18 anos ou mais no Brasil,consumidores de vodka com 18 anos ou mais no brasil (dados kantar ibope),Programática,Consumo & Varejo,Amantes de Cerveja / Vinho,conceito de audiência,vertical,Varejo & Consumo,"Alimentos, bebidas e gastronomia",,B2C,compra/consumo observado | demográfico/socioeconômico,Consideração | Conversão,alta,mapear
262,Consumidores de Whisky e Scotch com 18 anos ou mais no Brasil (Dados Kantar IBOPE),Consumidores de Whisky e Scotch com 18 anos ou mais no Brasil,consumidores de whisky e scotch com 18 anos ou mais no brasil (dados kantar ibope),Programática,Consumo & Varejo,Amantes de Cerveja / Vinho,conceito de audiência,vertical,Varejo & Consumo,"Alimentos, bebidas e gastronomia",,B2C,compra/consumo observado | demográfico/socioeconômico,Consideração | Conversão,alta,mapear
263,"Consumidores de Aguardente, Pinga ou Cachaça com 18 anos ou mais no Brasil","Consumidores de Aguardente, Pinga ou Cachaça com 18 anos ou mais no Brasil","consumidores de aguardente, pinga ou cachaca com 18 anos ou mais no brasil",Programática,Consumo & Varejo,Amantes de Cerveja / Vinho,conceito de audiência,vertical,Varejo & Consumo,"Alimentos, bebidas e gastronomia",,B2C,compra/consumo observado | demográfico/socioeconômico,Consideração | Conversão,alta,mapear
264,Consumidores de Biscoitos Doces (Kantar IBOPE),Consumidores de Biscoitos Doces,consumidores de biscoitos doces (kantar ibope),Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,Outros / revisar,,B2C,compra/consumo observado,Consideração | Conversão,média,mapear
265,Consumidores de leite fermentado (Kantar IBOPE),Consumidores de leite fermentado,consumidores de leite fermentado (kantar ibope),Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,Outros / revisar,,B2C,compra/consumo observado,Consideração | Conversão,média,mapear
266,Consumidores de chocolates e bombons (Kantar IBOPE),Consumidores de chocolates e bombons,consumidores de chocolates e bombons (kantar ibope),Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,Outros / revisar,,B2C,compra/consumo observado,Consideração | Conversão,média,mapear
267,Consumidores de leites achocolatados e aromatizados (Kantar IBOPE),Consumidores de leites achocolatados e aromatizados,consumidores de leites achocolatados e aromatizados (kantar ibope),Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,Outros / revisar,,B2C,compra/consumo observado,Consideração | Conversão,média,mapear
268,Consumidores de sorvete (Kantar IBOPE),Consumidores de sorvete,consumidores de sorvete (kantar ibope),Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,Outros / revisar,,B2C,compra/consumo observado,Consideração | Conversão,média,mapear
269,Consumidores de iogurte (Kantar IBOPE),Consumidores de iogurte,consumidores de iogurte (kantar ibope),Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,Outros / revisar,,B2C,compra/consumo observado,Consideração | Conversão,média,mapear
270,Consumidores com intenção de compra específica para café,Consumidores com intenção de compra específica para café,consumidores com intencao de compra especifica para cafe,Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,Outros / revisar,,B2C,intenção de compra | compra/consumo observado,Consideração | Conversão,média,mapear
271,Consumidores com intenção de compra em varejo para cafés e chás,Consumidores com intenção de compra em varejo para cafés e chás,consumidores com intencao de compra em varejo para cafes e chas,Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,Outros / revisar,,B2C,intenção de compra | compra/consumo observado,Consideração | Conversão,média,mapear
272,Consumidores com intenção de compra para chá em cápsulas,Consumidores com intenção de compra para chá em cápsulas,consumidores com intencao de compra para cha em capsulas,Programática,Finanças & Seguros,"Investimentos (Ações, Fundos)",conceito de audiência,vertical,Finanças & Seguros,Outros / revisar,,B2C,intenção de compra | compra/consumo observado,Consideração | Conversão,média,mapear
274,Consumidores com intenção de compra de refrigerantes zero açúcar ou dietéticos,Consumidores com intenção de compra de refrigerantes zero açúcar ou dietéticos,consumidores com intencao de compra de refrigerantes zero acucar ou dieteticos,Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,Outros / revisar,,B2C,intenção de compra | compra/consumo observado,Consideração | Conversão,média,mapear
275,Consumidores com intenção de compra de refrescos e sucos em pó no varejo brasileiro,Consumidores com intenção de compra de refrescos e sucos em pó no varejo brasileiro,consumidores com intencao de compra de refrescos e sucos em po no varejo brasileiro,Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,Outros / revisar,,B2C,intenção de compra | compra/consumo observado,Consideração | Conversão,média,mapear
276,Consumidores com intenção de compra de sucos naturais e industrializados,Consumidores com intenção de compra de sucos naturais e industrializados,consumidores com intencao de compra de sucos naturais e industrializados,Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,"B2B, Enterprise & Indústria",Indústria e manufatura,,Híbrido,intenção de compra | compra/consumo observado | empresa/firmográfico,Consideração | Conversão,alta,mapear
277,"Consumidores interessados em bebidas funcionais, energéticos e isotônicos","Consumidores interessados em bebidas funcionais, energéticos e isotônicos","consumidores interessados em bebidas funcionais, energeticos e isotonicos",Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,"Alimentos, bebidas e gastronomia",,B2C,compra/consumo observado | interesse/afinidade,Conhecimento | Consideração | Conversão,alta,mapear
278,Consumidores com intenção de compra de cerveja sem álcool,Consumidores com intenção de compra de cerveja sem álcool,consumidores com intencao de compra de cerveja sem alcool,Programática,Consumo & Varejo,Amantes de Cerveja / Vinho,conceito de audiência,vertical,Varejo & Consumo,"Alimentos, bebidas e gastronomia",,B2C,intenção de compra | compra/consumo observado,Consideração | Conversão,alta,mapear
279,Espectadores interessados em Entretenimento e E-Sports,Espectadores interessados em Entretenimento e E-Sports,espectadores interessados em entretenimento e e-sports,Programática,Entretenimento & Mídia,Gamers (Jogadores de PC/Console),contexto/afinidade de conteúdo,vertical,"Entretenimento, Conteúdo & Esportes",Outros / revisar,,B2C,interesse/afinidade | consumo de conteúdo,Conhecimento | Consideração,média,mapear
280,"Pessoas interessadas em culinária sofisticada, gastronomia e preparo de pratos gourmet","Pessoas interessadas em culinária sofisticada, gastronomia e preparo de pratos gourmet","pessoas interessadas em culinaria sofisticada, gastronomia e preparo de pratos gourmet",Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,"Alimentos, bebidas e gastronomia",,B2C,interesse/afinidade,Conhecimento | Consideração,alta,mapear
281,Consumidores entusiastas e interessados em cafés e produtos relacionados,Consumidores entusiastas e interessados em cafés e produtos relacionados,consumidores entusiastas e interessados em cafes e produtos relacionados,Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,Varejo & Consumo,Outros / revisar,,B2C,compra/consumo observado | interesse/afinidade,Conhecimento | Consideração | Conversão,média,mapear
282,Drink Makers Brasileiros Engajados,Drink Makers Brasileiros Engajados,drink makers brasileiros engajados,Programática,Consumo & Varejo,Amantes de Cerveja / Vinho,conceito de audiência,vertical,Varejo & Consumo,Outros / revisar,,Transversal/indefinido,,,média,mapear
283,"Pessoas que buscam soluções rápidas, práticas e cotidianas para alimentação.","Pessoas que buscam soluções rápidas, práticas e cotidianas para alimentação","pessoas que buscam solucoes rapidas, praticas e cotidianas para alimentacao.",Programática,Consumo & Varejo,Foco em Comida Rápida (Fast Food),conceito de audiência,vertical,"Entretenimento, Conteúdo & Esportes","Cinema, séries e gêneros",,B2C,,,alta,mapear
284,Consumidores interessados em dieta vegetariana e produtos plant-based,Consumidores interessados em dieta vegetariana e produtos plant-based,consumidores interessados em dieta vegetariana e produtos plant-based,Programática,Consumo & Varejo,Foodies & Gourmets,conceito de audiência,vertical,"Saúde, Bem-estar & Beleza",Nutrição e alimentação saudável,,B2C,compra/consumo observado | interesse/afinidade,Conhecimento | Consideração | Conversão,alta,mapear
285,Público de alta intenção de compra de pacotes turísticos nos últimos 7 dias,Público de alta intenção de compra de pacotes turísticos nos últimos 7 dias,publico de alta intencao de compra de pacotes turisticos nos ultimos 7 dias,Programática,Mobilidade,Planejando Férias (Intenção),conceito de audiência,vertical,Serviços ao Consumidor,Outros / revisar,,B2C,intenção de compra,Consideração | Conversão,média,mapear
288,Usuários em jornada de compra ativa de viagens com intenção demonstrada nos últimos 15 dias (Black Friday),Usuários em jornada de compra ativa de viagens com intenção demonstrada nos últimos 15 dias (Black Friday),usuarios em jornada de compra ativa de viagens com intencao demonstrada nos ultimos 15 dias (black friday),Programática,Mobilidade,Planejando Férias (Intenção),conceito de audiência,vertical,Varejo & Consumo,Ofertas e sazonalidades,Serviços ao Consumidor,Transversal/indefinido,intenção de compra,Consideração | Conversão,média,mapear
289,Pessoas com forte afinidade por serviços de viagens e turismo no Brasil (Serasa Experian),Pessoas com forte afinidade por serviços de viagens e turismo no Brasil,pessoas com forte afinidade por servicos de viagens e turismo no brasil (serasa experian),Programática,Mobilidade,Planejando Férias (Intenção),conceito de audiência,vertical,Serviços ao Consumidor,Turismo e hospitalidade,,B2C,demográfico/socioeconômico | interesse/afinidade,Conhecimento | Consideração,alta,mapear
290,Viajantes com alto consumo digital e conectividade (Serasa Experian),Viajantes com alto consumo digital e conectividade,viajantes com alto consumo digital e conectividade (serasa experian),Programática,Mobilidade,Planejando Férias (Intenção),conceito de audiência,vertical,Serviços ao Consumidor,Outros / revisar,,Transversal/indefinido,demográfico/socioeconômico,,média,mapear
291,Viajantes frequentes de voos internacionais e destinos no exterior (Acxiom Mobile),Viajantes frequentes de voos internacionais e destinos no exterior,viajantes frequentes de voos internacionais e destinos no exterior (acxiom mobile),Programática,Mobilidade,Viajantes a Lazer (Internacional),conceito de audiência,vertical,Serviços ao Consumidor,Turismo e hospitalidade,,Transversal/indefinido,,,alta,mapear
292,Pessoas que viajam a trabalho utilizando transporte público e mobilidade urbana (Acxiom Mobile),Pessoas que viajam a trabalho utilizando transporte público e mobilidade urbana,pessoas que viajam a trabalho utilizando transporte publico e mobilidade urbana (acxiom mobile),Programática,Mobilidade,Viajantes a Lazer (Nacional),conceito de audiência,vertical,"Automotivo, Mobilidade & Logística",Mobilidade urbana e aplicativos,,B2C,demográfico/socioeconômico,,alta,mapear
293,Público confirmado como interessado em destinos internacionais (Acxiom Mobile),Público confirmado como interessado em destinos internacionais,publico confirmado como interessado em destinos internacionais (acxiom mobile),Programática,Mobilidade,Viajantes a Lazer (Internacional),conceito de audiência,vertical,Serviços ao Consumidor,Outros / revisar,,B2C,interesse/afinidade,Conhecimento | Consideração,média,mapear
295,Público semelhante (Lookalike) interessado em equipamentos para agronegócios,Público semelhante (Lookalike) interessado em equipamentos para agronegócios,publico semelhante (lookalike) interessado em equipamentos para agronegocios,Programática,B2B & Indústria,Serviços e Equipamentos para Agronegócios,tática de ativação,transversal,,,Agronegócio,B2C,modelado/lookalike | interesse/afinidade,Conhecimento | Consideração,alta,mapear
296,Audiência Especial: Pequenos produtores rurais e agricultores,Audiência Especial: Pequenos produtores rurais e agricultores,audiencia especial: pequenos produtores rurais e agricultores,Programática,B2B & Indústria,Negócios para Agronegócios,conceito de audiência,vertical,Agronegócio,Produtores rurais,,Transversal/indefinido,,,alta,mapear
297,Profissionais de Agronegócios e Medicina Veterinária,Profissionais de Agronegócios e Medicina Veterinária,profissionais de agronegocios e medicina veterinaria,Programática,B2B & Indústria,Negócios para Agronegócios,conceito de audiência,vertical,Agronegócio,Veterinária e saúde animal,"Saúde, Bem-estar & Beleza | B2B, Enterprise & Indústria",B2B,cargo/função profissional,,média,mapear
299,Público em busca de Cursos Pré-Vestibulares e Escolas Preparatórias,Público em busca de Cursos Pré-Vestibulares e Escolas Preparatórias,publico em busca de cursos pre-vestibulares e escolas preparatorias,Programática,Educação & Carreira,Concurseiros & Ensino Preparatório,conceito de audiência,vertical,Educação & Carreira,Ensino básico e famílias,,Transversal/indefinido,,,alta,mapear
300,Perfil semelhante a pessoas interessadas em Cursos Pré-Vestibulares,Perfil semelhante a pessoas interessadas em Cursos Pré-Vestibulares,perfil semelhante a pessoas interessadas em cursos pre-vestibulares,Programática,Educação & Carreira,Concurseiros & Ensino Preparatório,conceito de audiência,vertical,Educação & Carreira,Cursos e formação profissional,,B2C,modelado/lookalike | interesse/afinidade,Conhecimento | Consideração,alta,mapear
301,"Interesse em Carreira, Educação e Cursos Pré-Vestibulares","Interesse em Carreira, Educação e Cursos Pré-Vestibulares","interesse em carreira, educacao e cursos pre-vestibulares",Programática,Educação & Carreira,Concurseiros & Ensino Preparatório,conceito de audiência,vertical,Educação & Carreira,Cursos e formação profissional,"Entretenimento, Conteúdo & Esportes",Transversal/indefinido,interesse/afinidade,Conhecimento | Consideração,média,mapear
302,Aniversariantes de Abril - Dados Serasa Experian,Aniversariantes de Abril,aniversariantes de abril - dados serasa experian,Programática,Consumo & Varejo,Pais & Mães (por faixa etária dos filhos),perfil transversal,transversal,,,,Transversal/indefinido,,Conhecimento,alta,mapear
303,Aniversariantes do mês de Junho - Dados Serasa Experian,Aniversariantes do mês de Junho,aniversariantes do mes de junho - dados serasa experian,Programática,Consumo & Varejo,Pais & Mães (por faixa etária dos filhos),perfil transversal,transversal,,,,Transversal/indefinido,,Conhecimento,alta,mapear
304,Aniversariantes do mês de Julho - Dados Serasa Experian,Aniversariantes do mês de Julho,aniversariantes do mes de julho - dados serasa experian,Programática,Consumo & Varejo,Pais & Mães (por faixa etária dos filhos),perfil transversal,transversal,,,,Transversal/indefinido,,Conhecimento,alta,mapear
305,Aniversariantes do mês de Maio - Dados Serasa Experian,Aniversariantes do mês de Maio,aniversariantes do mes de maio - dados serasa experian,Programática,Consumo & Varejo,Pais & Mães (por faixa etária dos filhos),perfil transversal,transversal,,,,Transversal/indefinido,,Conhecimento,alta,mapear
306,Aniversariantes do mês de Setembro - Dados Serasa Experian,Aniversariantes do mês de Setembro,aniversariantes do mes de setembro - dados serasa experian,Programática,Consumo & Varejo,Pais & Mães (por faixa etária dos filhos),perfil transversal,transversal,,,,Transversal/indefinido,,Conhecimento,alta,mapear
307,Aniversariantes do mês de Fevereiro - Dados Serasa Experian,Aniversariantes do mês de Fevereiro,aniversariantes do mes de fevereiro - dados serasa experian,Programática,Consumo & Varejo,Pais & Mães (por faixa etária dos filhos),perfil transversal,transversal,,,,Transversal/indefinido,,Conhecimento,alta,mapear
308,Aniversariantes do mês de Outubro - Dados Serasa Experian,Aniversariantes do mês de Outubro,aniversariantes do mes de outubro - dados serasa experian,Programática,Finanças & Seguros,"Investimentos (Ações, Fundos)",perfil transversal,transversal,,,Finanças & Seguros,Transversal/indefinido,,Conhecimento,alta,mapear
309,Aniversariantes do mês de Janeiro - Dados Serasa Experian,Aniversariantes do mês de Janeiro,aniversariantes do mes de janeiro - dados serasa experian,Programática,Consumo & Varejo,Pais & Mães (por faixa etária dos filhos),perfil transversal,transversal,,,,Transversal/indefinido,,Conhecimento,alta,mapear
310,Aniversariantes do mês de Agosto - Dados Serasa Experian,Aniversariantes do mês de Agosto,aniversariantes do mes de agosto - dados serasa experian,Programática,Consumo & Varejo,Pais & Mães (por faixa etária dos filhos),perfil transversal,transversal,,,,Transversal/indefinido,,Conhecimento,alta,mapear
311,Aniversariantes do mês de Novembro - Dados Serasa Experian,Aniversariantes do mês de Novembro,aniversariantes do mes de novembro - dados serasa experian,Programática,Consumo & Varejo,Pais & Mães (por faixa etária dos filhos),perfil transversal,transversal,,,,Transversal/indefinido,,Conhecimento,alta,mapear
312,Aniversariantes do mês de Dezembro - Dados Serasa Experian,Aniversariantes do mês de Dezembro,aniversariantes do mes de dezembro - dados serasa experian,Programática,Finanças & Seguros,"Investimentos (Ações, Fundos)",perfil transversal,transversal,,,Finanças & Seguros,Transversal/indefinido,,Conhecimento,alta,mapear
313,Aniversariantes do mês de Março - Dados Serasa Experian,Aniversariantes do mês de Março,aniversariantes do mes de marco - dados serasa experian,Programática,Consumo & Varejo,Pais & Mães (por faixa etária dos filhos),perfil transversal,transversal,,,,Transversal/indefinido,,Conhecimento,alta,mapear
314,Pessoas de 40 a 44 anos (Dados Serasa Experian),Pessoas de 40–44 anos,pessoas de 40 a 44 anos (dados serasa experian),Programática,Consumo & Varejo,Pais & Mães (por faixa etária dos filhos),perfil transversal,transversal,,,,B2C,demográfico/socioeconômico,Conhecimento,alta,mapear
315,Pessoas de 65 a 69 anos (Dados Serasa Experian),Pessoas de 65–69 anos,pessoas de 65 a 69 anos (dados serasa experian),Programática,Consumo & Varejo,Pais & Mães (por faixa etária dos filhos),perfil transversal,transversal,,,,B2C,demográfico/socioeconômico,Conhecimento,alta,mapear
